Geneid	SRR10440857	SRR10440859	SRR10440860	SRR10440861	SRR11357867	SRR11357868	SRR11357869	SRR11357870
ENSG00000000003.16	1322	1769	2098	938	959	1256	979	717
ENSG00000000005.6	4	2	36	1	5	7	5	2
ENSG00000000419.14	674	746	757	1025	965	1260	722	944
ENSG00000000457.14	459	744	355	577	453	683	341	527
ENSG00000000460.17	153	301	229	255	83	161	65	118
ENSG00000000938.13	452	1162	353	888	3143	2462	1561	2600
ENSG00000000971.17	292	457	145	489	464	1097	234	817
ENSG00000001036.14	2853	1967	1937	1694	2105	1618	1091	1356
ENSG00000001084.13	227	599	2439	1012	623	745	514	621
ENSG00000001167.15	1327	1566	1339	1648	1178	899	894	1034
ENSG00000001460.18	278	251	268	176	282	378	463	290
ENSG00000001461.18	473	778	1528	1409	2086	1389	1447	1354
ENSG00000001497.18	1305	881	1025	1132	1100	1939	867	1349
ENSG00000001561.7	144	755	380	4539	1835	1124	1731	1402
ENSG00000001617.12	1559	1661	665	500	2735	4495	1008	1754
ENSG00000001626.18	56	156	376	665	1813	168	1267	732
ENSG00000001629.10	1411	1278	949	2812	2084	1725	1290	1129
ENSG00000001630.18	24	121	179	339	360	80	274	151
ENSG00000001631.17	299	435	136	574	345	677	217	529
ENSG00000002016.18	856	328	265	549	290	541	126	384
ENSG00000002079.15	0	0	0	1	0	0	0	0
ENSG00000002330.14	590	445	522	599	847	1203	671	911
ENSG00000002549.13	3260	3760	1718	6023	4978	7047	4543	7404
ENSG00000002586.20	0	0	0	0	1	0	1	0
ENSG00000002587.10	889	3458	963	257	364	508	532	301
ENSG00000002726.21	8	107	65	43	17	5	7	18
ENSG00000002745.13	0	2	2	11	0	3	4	2
ENSG00000002746.15	60	12	54	26	22	23	1	6
ENSG00000002822.16	39	45	50	46	29	37	19	54
ENSG00000002834.19	10708	6408	9279	7199	8277	7893	4995	5794
ENSG00000002919.15	484	470	545	814	787	1116	523	755
ENSG00000002933.9	2207	2084	937	1543	2475	2720	1363	1809
ENSG00000003056.8	4765	2312	1941	3088	2851	2767	2156	2303
ENSG00000003096.15	118	45	44	16	199	182	284	109
ENSG00000003137.9	235	420	190	102	136	1124	259	393
ENSG00000003147.19	1541	2313	1793	1579	975	892	511	700
ENSG00000003249.15	220	1992	431	897	93	104	134	127
ENSG00000003393.16	563	1174	543	721	1225	1586	846	1054
ENSG00000003400.16	433	1154	508	1444	1603	2450	835	1665
ENSG00000003402.21	1493	5218	2785	4329	10481	14887	7691	13094
ENSG00000003436.16	333	2121	11775	1468	7130	9316	4232	5931
ENSG00000003509.16	346	549	315	440	329	657	189	429
ENSG00000003756.17	2713	3912	1552	2561	2659	6495	1722	4136
ENSG00000003987.14	20	229	7	79	48	94	61	77
ENSG00000003989.18	186	1938	148	67	3086	779	2532	1184
ENSG00000004059.11	3094	1306	1778	2084	2802	2931	1891	2398
ENSG00000004139.14	122	353	270	229	365	357	209	302
ENSG00000004142.12	2721	1728	2679	1672	2512	2654	1775	1860
ENSG00000004399.13	5787	4733	3100	5369	13704	15524	4936	9126
ENSG00000004455.18	3626	3801	5395	5458	3968	4120	2775	3135
ENSG00000004468.13	180	572	9	1006	926	220	352	828
ENSG00000004478.8	7690	882	3078	3831	1208	1678	1091	986
ENSG00000004487.18	2432	2636	2774	1309	1866	2670	1493	1548
ENSG00000004534.15	4343	5078	2244	2429	2885	5373	1862	5385
ENSG00000004660.15	211	222	369	157	594	826	340	527
ENSG00000004700.16	975	861	575	1208	1237	1145	598	646
ENSG00000004766.17	456	460	326	1154	754	1062	547	769
ENSG00000004776.13	182	101	40	16	2112	1803	518	524
ENSG00000004777.19	397	2092	801	278	358	507	250	576
ENSG00000004779.10	994	1470	1217	1335	1434	1561	947	1205
ENSG00000004799.8	225	315	68	223	8516	5441	3731	6662
ENSG00000004809.14	14	13	3	4	48	6	18	4
ENSG00000004838.14	49	164	33	35	68	281	1488	447
ENSG00000004846.17	1	7	2	0	12	27	31	27
ENSG00000004848.8	35	36	43	550	0	26	93	27
ENSG00000004864.14	972	588	520	1047	645	800	459	539
ENSG00000004866.22	506	483	683	1139	1271	992	1157	1123
ENSG00000004897.12	1015	1857	1583	2305	2367	2390	1370	1673
ENSG00000004939.16	0	4	1	1	12	8	7	5
ENSG00000004948.16	16	8	9	15	25	17	19	15
ENSG00000004961.15	530	400	518	450	586	584	416	485
ENSG00000004975.12	1232	820	820	697	1306	1558	998	1043
ENSG00000005001.10	3524	1261	1153	339	339	190	462	351
ENSG00000005007.14	5421	4047	5739	2622	5055	4552	3764	3259
ENSG00000005020.13	744	1193	2171	2521	3959	3260	1621	2370
ENSG00000005022.6	4890	3774	3058	4247	4984	4721	3794	4947
ENSG00000005059.16	422	545	679	828	840	971	350	735
ENSG00000005073.6	10	4	3	1	0	10	0	0
ENSG00000005075.16	460	307	484	579	649	1060	578	719
ENSG00000005100.13	358	696	267	501	628	667	286	352
ENSG00000005102.14	20	108	3	27	484	910	31	224
ENSG00000005108.17	556	256	435	398	954	995	292	303
ENSG00000005156.12	670	632	960	783	762	537	529	536
ENSG00000005175.10	427	784	872	937	660	748	547	592
ENSG00000005187.12	54	379	70	493	386	193	203	310
ENSG00000005189.20	59	232	243	143	90	112	67	93
ENSG00000005194.15	1068	873	390	1005	1004	1325	593	865
ENSG00000005206.17	3304	3513	2358	1464	1298	2131	793	1682
ENSG00000005238.20	903	891	679	779	1427	1232	668	972
ENSG00000005243.10	417	117	269	175	569	936	183	444
ENSG00000005249.14	63	166	97	348	707	849	419	620
ENSG00000005302.19	1083	1448	932	1193	1114	1725	615	1284
ENSG00000005339.15	2506	4243	3915	2599	4605	3329	2972	2855
ENSG00000005379.17	905	1957	620	413	688	1366	1215	1679
ENSG00000005381.9	2	20	4	2	40	17	18	54
ENSG00000005421.9	15	3	2	158	11	25	22	40
ENSG00000005436.14	219	752	149	614	602	713	437	516
ENSG00000005448.17	530	441	376	164	300	556	827	480
ENSG00000005469.12	216	286	209	456	465	743	376	531
ENSG00000005471.19	49	37	88	55	23	27	9	18
ENSG00000005483.23	784	2276	1232	3295	4190	3102	2338	2378
ENSG00000005486.17	2509	1170	1600	1232	3562	3138	2719	2650
ENSG00000005513.11	9	59	21	3	38	85	24	41
ENSG00000005700.15	527	2706	1176	2655	2392	1856	1554	1445
ENSG00000005801.18	397	960	573	731	414	720	292	601
ENSG00000005810.20	678	2265	822	2330	3713	2596	1828	2163
ENSG00000005812.11	243	1456	628	1536	2006	2703	1647	1777
ENSG00000005844.19	493	1252	321	1853	2080	2389	1245	3371
ENSG00000005882.12	438	329	572	441	523	715	527	520
ENSG00000005884.18	51716	2843	21574	5798	10948	12693	9082	12879
ENSG00000005889.16	551	1583	775	808	1074	2028	1112	978
ENSG00000005893.17	8789	5275	10343	4854	7169	6182	4697	4445
ENSG00000005961.19	129	250	16	92	71	74	31	153
ENSG00000005981.13	8	6	1	13	15	7	30	28
ENSG00000006007.12	1873	2462	4909	5013	2511	1773	1696	1809
ENSG00000006015.18	1546	998	2084	566	1580	2253	977	1837
ENSG00000006016.12	41	5377	721	17	428	138	128	97
ENSG00000006025.13	1383	787	732	382	618	953	285	767
ENSG00000006042.12	1253	3515	908	1068	2234	2983	2435	1611
ENSG00000006047.13	450	5	140	55	7	6	7	20
