"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000165197.5",1180.47600344891,-7.75777453969512,0.437133591046618,-17.7469192452606,1.82071924404122e-70,3.73320273798211e-66
"ENSG00000102760.13",5689.81664284387,-4.57198113527514,0.270466434528783,-16.904061101854,4.19960445183456e-64,4.30543448402079e-60
"ENSG00000118526.7",789.936897658053,-5.25401091194764,0.363863998805678,-14.4394909339562,2.91990746985145e-47,1.99565942539447e-43
"ENSG00000140807.7",866.843082084356,-4.52661542238782,0.335399602678052,-13.4961860009503,1.64683516537892e-41,8.44167705773236e-38
"ENSG00000116016.14",37390.1786913964,-3.44612329823041,0.268092967878755,-12.8542099611838,8.14537875561741e-38,3.34025692010359e-34
"ENSG00000204305.16",17855.0002295225,-6.33565769867739,0.497566021135947,-12.7333005662505,3.86163040798158e-37,1.31964783142091e-33
"ENSG00000168874.14",1285.00525465329,-5.36389378355192,0.424485889715306,-12.6362122122584,1.33323480039145e-36,3.90523519246091e-33
"ENSG00000165072.10",859.544535173022,-4.74324663232747,0.381267280168088,-12.4407387652996,1.5704465144382e-35,3.57782614800454e-32
"ENSG00000134917.10",1642.39714487423,-7.46605439697316,0.601971457051367,-12.4026717704259,2.52753125380051e-35,4.71131825708414e-32
"ENSG00000173114.13",247.235047481516,-4.38671235297073,0.354141921805125,-12.3868767939443,3.07798898614922e-35,5.25925718100031e-32
"ENSG00000168309.18",4369.92464553168,-7.13563186379285,0.58699135504573,-12.1562810124128,5.31225060602407e-34,8.37864510968596e-31
"ENSG00000197766.9",6340.27409665548,-3.5895036735652,0.299211081592245,-11.9965599350925,3.70372833806482e-33,5.42437470312008e-30
"ENSG00000022267.19",6911.22960125893,-4.89019100477377,0.408063258307916,-11.9839042237019,4.31512456571813e-33,5.89848760636564e-30
"ENSG00000123243.15",1201.67431069571,-4.17244683129187,0.35415166919089,-11.7815252454532,4.86054904874121e-32,5.86239398208175e-29
"ENSG00000175084.13",2766.37072329672,-7.63400719079068,0.663203428725471,-11.5108077855712,1.16383108346883e-30,1.32573291863583e-27
"ENSG00000105974.13",15825.7185060497,-4.61322014710199,0.412307297919965,-11.1887909100204,4.62699907926931e-29,4.7435994560669e-26
"ENSG00000168079.17",857.440078421663,-6.20939651343875,0.561388431164015,-11.0607845989342,1.94389585032446e-28,1.81171093250239e-25
"ENSG00000102547.19",648.858460172798,-2.77466970879239,0.254733769947704,-10.8924298076459,1.25253148437379e-27,1.02727622222401e-24
"ENSG00000186994.12",1626.8150272284,-4.60228726933076,0.422802145613805,-10.8852032021961,1.35595878390377e-27,1.06932995789088e-24
"ENSG00000167434.10",703.651067125564,-9.12084082616165,0.84488169532116,-10.7954058854294,3.61860074087034e-27,2.64984962824305e-24
"ENSG00000154188.10",1169.25463531828,-4.24546009072319,0.394477766491998,-10.7622290819508,5.18993540629744e-27,3.66946329554216e-24
"ENSG00000266524.3",495.239366916272,-7.07048409250279,0.661208374670166,-10.6932766785203,1.09435031333997e-26,7.47951960824091e-24
"ENSG00000166482.12",12280.3992443358,-4.37888321760717,0.411143246920053,-10.6505050257061,1.73421642512345e-26,1.14704430905584e-23
"ENSG00000261143.2",536.765469860724,-8.46711650496114,0.801027244782616,-10.5703227450884,4.09084353748538e-26,2.54177745129092e-23
"ENSG00000004799.8",2785.78496448084,-4.60331452594011,0.437421094275436,-10.5237597961874,6.71397587586729e-26,4.04892239290538e-23
"ENSG00000108576.10",2441.79867531508,-9.05991553740232,0.864151793796269,-10.4841714180811,1.02136979542205e-25,5.98347608152392e-23
"ENSG00000105971.15",5072.57611007267,-3.5318029270868,0.339844115002985,-10.392420439753,2.68452557437925e-25,1.48766249667763e-22
"ENSG00000107317.13",466.406814045248,-4.20265904890258,0.409061758893237,-10.2738986413038,9.23936721845957e-25,4.73609963618238e-22
"ENSG00000164530.15",220.869566546548,-6.01720991745511,0.587581205211639,-10.2406439553964,1.30365755182245e-24,6.36433201013512e-22
"ENSG00000043591.6",392.35433381255,-5.28488361322641,0.518701815078597,-10.1886738384087,2.22782435983878e-24,1.06230955056126e-21
"ENSG00000211445.13",16471.202767021,-3.61011098259466,0.354438152807582,-10.1854468939029,2.30299282041776e-24,1.07319465431468e-21
"ENSG00000163815.6",1543.05592126981,-5.57836255576144,0.548390928997226,-10.1722371045814,2.63779597270683e-24,1.2018970805418e-21
"ENSG00000147655.12",170.424388206136,-7.70669156270927,0.758263189081562,-10.1636103053399,2.88202481472785e-24,1.28463123480826e-21
"ENSG00000148488.17",434.905677592212,-5.43099436742129,0.539431512107907,-10.0679961135361,7.652123371298e-24,3.20202321643049e-21
"ENSG00000142748.14",1862.28450128969,-6.23743149510014,0.620542689035287,-10.0515751862245,9.04105385585884e-24,3.70755536521059e-21
"ENSG00000168497.5",4663.40870956741,-4.82183551987002,0.48253571390893,-9.99270184751559,1.6404821840377e-23,6.4685474425979e-21
"ENSG00000105227.16",1819.68270974543,-4.66881426517578,0.468873250346734,-9.95751892803262,2.33825101222564e-23,9.04594316125934e-21
"ENSG00000102683.8",145.22563859965,-5.52447770869917,0.555664381219218,-9.94211235310345,2.72976197884021e-23,1.03071566706487e-20
"ENSG00000163145.13",402.539944413256,-4.24922496784345,0.427451202628052,-9.94084223349566,2.76479524427272e-23,1.03071566706487e-20
"ENSG00000154678.18",299.707878002901,-3.7994300402653,0.383032918547064,-9.91933031416058,3.43050084377083e-23,1.25605338036923e-20
"ENSG00000168481.9",954.626047287027,-8.77803168667523,0.885755525400651,-9.91021950747041,3.7581956761974e-23,1.35189551131143e-20
"ENSG00000132688.11",2161.79546403087,-3.23524461389789,0.327091495433725,-9.89094690342815,4.55696927848588e-23,1.58366267942499e-20
"ENSG00000122756.15",101.894676761672,-6.5198456581588,0.666831031132834,-9.77735791191762,1.40839016966357e-22,4.73403803914455e-20
