"SYMBOL","ENTREZID","Pathway_Count","Pathway","baseMean","log2FoldChange","pvalue","padj"
"ADRB1","153",2,"cGMP-PKG signaling pathway | Hormone signaling",392.35433381255,-5.28488361322641,2.22782435983878e-24,1.06230955056126e-21
"PRKG1","5592",2,"cGMP-PKG signaling pathway | Hormone signaling",520.735219914624,-2.81921759068925,2.32207054495189e-17,3.93485408708211e-15
"MCM2","4171",2,"Cell cycle | DNA replication",798.158306831811,2.92198138217371,5.43055382585936e-13,4.54481941409879e-11
"MCM4","4173",2,"Cell cycle | DNA replication",1766.19954513472,2.66162424194172,7.2929058622274e-12,4.76222107640479e-10
"PCNA","5111",2,"Cell cycle | DNA replication",1743.23158944692,1.78793046047889,5.44177082302987e-11,3.00749512009177e-09
"NPR1","4881",2,"cGMP-PKG signaling pathway | Hormone signaling",1345.38281346459,-3.44815500731625,9.31545827639813e-10,4.18868764252779e-08
"ADCY8","114",2,"cGMP-PKG signaling pathway | Hormone signaling",65.3106926860197,-7.35823020633555,8.97126778652888e-09,3.32034069846549e-07
"MCM3","4172",2,"Cell cycle | DNA replication",2343.55538755418,1.3550233766364,1.45567425674444e-08,5.12837542272989e-07
"ADRA1A","148",2,"cGMP-PKG signaling pathway | Hormone signaling",74.6803214512644,-5.05686390034222,1.06213015057925e-07,2.96347913040177e-06
"ADRA1B","147",2,"cGMP-PKG signaling pathway | Hormone signaling",62.1979163116365,-3.07795562439532,2.09715977614912e-07,5.4156377896929e-06
"MCM5","4174",2,"Cell cycle | DNA replication",1879.62975478774,1.62726413621126,2.22029957056541e-07,5.6977499868427e-06
"PLCB4","5332",2,"cGMP-PKG signaling pathway | Hormone signaling",464.591002326672,-3.7053191900933,3.93042929012565e-07,9.39271820101822e-06
"ADRA1D","146",2,"cGMP-PKG signaling pathway | Hormone signaling",50.17742222684,-3.50194087221541,1.6041454166552e-06,3.23734228573802e-05
"ADCY4","196883",2,"cGMP-PKG signaling pathway | Hormone signaling",1273.25086630404,-2.88253121155528,1.87611802559658e-05,0.00026995034383742
"MCM6","4175",2,"Cell cycle | DNA replication",1145.31935808408,1.36583724245826,8.46550606299089e-05,0.000975698349160007
"ADRB2","154",2,"cGMP-PKG signaling pathway | Hormone signaling",679.504526802967,-2.46851578458841,0.000716949251784878,0.00581960706991177
"ADRA2B","151",2,"cGMP-PKG signaling pathway | Hormone signaling",24.924712306286,-2.46171461910345,0.000729305231165872,0.00589655932958401
"GNAI1","2770",2,"cGMP-PKG signaling pathway | Hormone signaling",777.490067750326,-1.63877373296001,0.00142486618797003,0.0101796015045776
"GNAQ","2776",2,"cGMP-PKG signaling pathway | Hormone signaling",3212.70856158862,-1.31298979204468,0.00652990391703519,0.0339733950557954
"ADCY5","111",2,"cGMP-PKG signaling pathway | Hormone signaling",227.489161362735,-1.92576853367224,0.00719694338904429,0.0366806182572618
"ADCY1","107",2,"cGMP-PKG signaling pathway | Hormone signaling",142.777952242112,-1.23190912364686,0.00779192221155189,0.0390529388965192
"AGTR1","185",2,"cGMP-PKG signaling pathway | Hormone signaling",192.837728291467,-2.02305677617623,0.0162765718407916,0.0682735499186984
"PRKG2","5593",2,"cGMP-PKG signaling pathway | Hormone signaling",142.097450455674,-2.35396516192086,0.0258970236830569,0.0967728400942952
"IRS2","8660",2,"cGMP-PKG signaling pathway | Hormone signaling",1310.22700549143,-1.2594327793002,0.0402133628360686,0.133204328205291
"ADCY3","109",2,"cGMP-PKG signaling pathway | Hormone signaling",979.716789011761,-0.628600235307659,0.0406991279137861,0.134500797461033
"ADRA2C","152",2,"cGMP-PKG signaling pathway | Hormone signaling",133.114666364075,-2.04857962834058,0.0478804317096238,0.151199810838461
