"SYMBOL","Pathway"
"ADCY1","cGMP-PKG signaling pathway | Hormone signaling"
"ADCY3","cGMP-PKG signaling pathway | Hormone signaling"
"ADCY4","cGMP-PKG signaling pathway | Hormone signaling"
"ADCY5","cGMP-PKG signaling pathway | Hormone signaling"
"ADCY8","cGMP-PKG signaling pathway | Hormone signaling"
"ADRA1A","cGMP-PKG signaling pathway | Hormone signaling"
"ADRA1B","cGMP-PKG signaling pathway | Hormone signaling"
"ADRA1D","cGMP-PKG signaling pathway | Hormone signaling"
"ADRA2B","cGMP-PKG signaling pathway | Hormone signaling"
"ADRA2C","cGMP-PKG signaling pathway | Hormone signaling"
"ADRB1","cGMP-PKG signaling pathway | Hormone signaling"
"ADRB2","cGMP-PKG signaling pathway | Hormone signaling"
"AGTR1","cGMP-PKG signaling pathway | Hormone signaling"
"GNAI1","cGMP-PKG signaling pathway | Hormone signaling"
"GNAQ","cGMP-PKG signaling pathway | Hormone signaling"
"IRS2","cGMP-PKG signaling pathway | Hormone signaling"
"MCM2","Cell cycle | DNA replication"
"MCM3","Cell cycle | DNA replication"
"MCM4","Cell cycle | DNA replication"
"MCM5","Cell cycle | DNA replication"
"MCM6","Cell cycle | DNA replication"
"NPR1","cGMP-PKG signaling pathway | Hormone signaling"
"PCNA","Cell cycle | DNA replication"
"PLCB4","cGMP-PKG signaling pathway | Hormone signaling"
"PRKG1","cGMP-PKG signaling pathway | Hormone signaling"
"PRKG2","cGMP-PKG signaling pathway | Hormone signaling"
