"SYMBOL","ENTREZID","log2FC","Pathway_Count","Pathway"
"ADCY8","114",-7.35823020633555,2,"cGMP-PKG signaling pathway | Hormone signaling"
"ADRB1","153",-5.28488361322641,2,"cGMP-PKG signaling pathway | Hormone signaling"
"ADRA1A","148",-5.05686390034222,2,"cGMP-PKG signaling pathway | Hormone signaling"
"PLCB4","5332",-3.7053191900933,2,"cGMP-PKG signaling pathway | Hormone signaling"
"ADRA1D","146",-3.50194087221541,2,"cGMP-PKG signaling pathway | Hormone signaling"
"NPR1","4881",-3.44815500731625,2,"cGMP-PKG signaling pathway | Hormone signaling"
"ADRA1B","147",-3.07795562439532,2,"cGMP-PKG signaling pathway | Hormone signaling"
"MCM2","4171",2.92198138217371,2,"Cell cycle | DNA replication"
"ADCY4","196883",-2.88253121155528,2,"cGMP-PKG signaling pathway | Hormone signaling"
"PRKG1","5592",-2.81921759068925,2,"cGMP-PKG signaling pathway | Hormone signaling"
"MCM4","4173",2.66162424194172,2,"Cell cycle | DNA replication"
"ADRB2","154",-2.46851578458841,2,"cGMP-PKG signaling pathway | Hormone signaling"
"ADRA2B","151",-2.46171461910345,2,"cGMP-PKG signaling pathway | Hormone signaling"
"ADCY5","111",-1.92576853367224,2,"cGMP-PKG signaling pathway | Hormone signaling"
"PCNA","5111",1.78793046047889,2,"Cell cycle | DNA replication"
"GNAI1","2770",-1.63877373296001,2,"cGMP-PKG signaling pathway | Hormone signaling"
"MCM5","4174",1.62726413621126,2,"Cell cycle | DNA replication"
"MCM6","4175",1.36583724245826,2,"Cell cycle | DNA replication"
"MCM3","4172",1.3550233766364,2,"Cell cycle | DNA replication"
"GNAQ","2776",-1.31298979204468,2,"cGMP-PKG signaling pathway | Hormone signaling"
"ADCY1","107",-1.23190912364686,2,"cGMP-PKG signaling pathway | Hormone signaling"
"ADCY3","109",-0.628600235307659,2,"cGMP-PKG signaling pathway | Hormone signaling"
"ADRA2C","152",-2.04857962834058,2,"cGMP-PKG signaling pathway | Hormone signaling"
"AGTR1","185",-2.02305677617623,2,"cGMP-PKG signaling pathway | Hormone signaling"
"IRS2","8660",-1.2594327793002,2,"cGMP-PKG signaling pathway | Hormone signaling"
"PRKG2","5593",-2.35396516192086,2,"cGMP-PKG signaling pathway | Hormone signaling"
